concepticon	concepticon_ID	concepticon_proposed	NEL_concept	NEL_ID	lgc	lgcSD	inf	ranking_value	position_in_ranking	WOLD	ABVD	ASJP40	ASJP100	Holman ranking value	Holman	Rama & Borin score	Rama & Borin rank	Swadesh100	Swadesh200	IELex	Dyen 1975 P	Dyen 1975 rank	Pagel mean rate	Petroni & Serva	Peust ranking	Tadmor score	Tadmor rank	Tadmor representation score	WOLD borrowed score	WOLD age score	WOLD simplicity score	representation	Tadmor score (replica)
KNOW (SOMETHING)	1410	KNOW_(SOMETHING)	wissen::V	1000	0.42113389663292	0.087041076457988	11.0239262383938	0.723372116869747	88	17-17	20		59	14.1	93	527.866	93	45	83	87	5.64	102	2.11	0.17117	9	0.725	58	1	0.0666936136	0.8710590137	0.9078415521	49	0.7380433534
WOOD	1803	WOOD	Holz::N	299	0.38166862641549	0.112151209334919	10.6831847387017	0.724816710096231	89	1-43	79															0.705	80	1	0.1401225115	0.9310872894	0.9402756508	43	0.7528044319
SUN	1343	SUN	Sonne::N	57	0.414012924050412	0.089469372536033	10.9797494441478	0.725363312769412	90	1-52		12	72	24.2	43	177.999	8	82	157	163	9.65	74	0.98	0.25535	7				0.1390020367	0.8932790224	0.8716904277	48	0.6704270618
MELT	2334	MELT	schmelzen::V	702	0.45299597972864	0.105741251227992	11.3429700072948	0.726600618973702	91	1-99912																							
OIL (ORGANIC SUBSTANCE)	1484	OIL (ORGANIC SUBSTANCE)	Öl::N	357	0.419615047550443	0.082556786830982	11.0493008093409	0.727276538138692	92	5-79																			0.5997536946	0.8103448276	0.9187192118	43	0.2979751138
VOICE	1363	VOICE	Stimme::N	234	0.396067683284477	0.102812665276343	10.8376188071397	0.727300965757936	93	18-11																			0.265171504	0.8591029024	0.9722955145	44	0.6138036378
LICK	319	LICK	lecken::V	853	0.479031829084761	0.089451043711922	11.5997957811864	0.728850931942351	94	4-59																			0.1626506024	0.886746988	0.9036144578	42	0.6709491471
		PASS_(SOMETHING)	reichen::V	899	0.388664735743734	0.13544418616855	10.795577921033	0.729759529933943	95																								
DOG	2009	DOG	Hund::N	139	0.327828138209376	0.094271810466264	10.2564531978949	0.730599995401053	96	3-61	96	21	21	24.2	42	263.383	25	18	31	31	5.11	107	1.79		11	0.699	84	1	0.1616161616	0.8797979798	0.9595959596	50	0.7078060474
SKIN	763	SKIN	Haut::N	40	0.382300117184006	0.105245045334626	10.7484945434304	0.730779348877438	97	4-12	12	39	28	29.6	21	271.754	31	75	137	143	10.32	70	2.73		9	0.718	67	1	0.1109785203	0.8978520286	0.923627685	49	0.7372486134
BOW	994	BOW	Bogen[Waffe]::N	439	0.393532703821249	0.10714849402515	10.9044188960923	0.736262456170107	98	20-24																			0.1575342466	0.8616438356	0.9109589041	41	0.6612700088
FLOW	2003	FLOW	fließen::V	692	0.441829486096625	0.108538489133616	11.3413015698845	0.736483619501486	99	10-32	123								53	54	7.44	86	3.4						0.041958042	0.848951049	0.8391608392	44	0.6825152939
HAY	342	HAY	Heu::N	177	0.524472881985144	0.061353319268623	12.0990240195849	0.737876808171861	100	8-52																			0.1492537313	0.7721393035	0.8582089552	38	0.5637528552
PLACE (POSITION)	723	PLACE_(POSITION)	Ort::N	267	0.359012668165386	0.104083798125853	10.6121380816412	0.738102406815274	101	12-11																			0.2548179872	0.8501070664	0.9606531049	50	0.6085588469
TONGUE	1205	TONGUE	Zunge::N	6	0.410418268384912	0.122557624070603	11.0839860487786	0.739022163331436	102	4-26	32	16	44	30.1	20	325.452	51	88	172	178	25.8	31	0.49	0.18194	4	0.808	6	1	0.0663716814	0.8769911504	0.953539823	42	0.7807429342
SUMMER	1342	SUMMER	Sommer::N	459	0.403901433724526	0.109897338491529	11.0402096826764	0.740509677915563	103	14-76															10				0.1285377358	0.8509433962	0.8372641509	38	0.6208858393
FOOT	1301	FOOT	Fuß::N	34	0.381907326849069	0.099015547444664	10.8572769496076	0.742011100796594	104	4-37	4		46	21.6	55	295.059	40	31	57	58	3.9	132	1.39	0.1683	9	0.747	37	1	0.1414165103	0.8616322702	0.9648217636	48	0.7137589716
		NET	Netz::N	330	0.410632982977492	0.104573265539277	11.1158449308325	0.742014808403503	105																								
FOUR	1500	FOUR	vier::NUM	656	0.478258644948038	0.083030857276032	11.7336302934866	0.742930248895427	106	13-04	200								58	59	55.7	10	0.38	0.30226	2				0.2119565217	0.8630434783	0.9619565217	46	0.6542418144
SOUND OR NOISE	1811	SOUND_OR_NOISE	Laut::N	239	0.310750911072891	0.126294988650239	10.2309847938263	0.743422659417025	107	15-44																			0.1850699844	0.7968895801	0.9020217729	61	0.5857812721
COW	1007	COW	Kuh::N	134	0.351192796579746	0.110229640412319	10.6315253224279	0.747079015321022	108	3-23																			0.3002309469	0.841108545	0.8614318707	41	0.5070230608
HONEY	942	HONEY	Honig::N	360	0.4302026246049	0.089539469631493	11.3476657427676	0.747584212132355	109	5-84															9				0.3079268293	0.843902439	0.9085365854	45	0.5306237395
SEVEN	1704	SEVEN	sieben::NUM	659	0.469901326347442	0.060806138535886	11.719354699627	0.749024276250005	110	13-07	203														5				0.2897727273	0.8795454545	0.9772727273	45	0.610479961
HAIR	1040	HAIR	Haar::N	11	0.36012657060098	0.113856855967223	10.7356617982513	0.749452266284246	111	4-14	26		37	18.6	70	349.821	55	36	65	68	11.67	63	3.61	0.18522	11	0.754	31	1	0.0564218301	0.8799753796	0.916906032	48	0.7613305128
SELL	1571	SELL	verkaufen::V	1012	0.439316966886976	0.108495789497951	11.4549059224651	0.750105322048235	112	11-82																			0.1726315789	0.8648421053	0.8610526316	43	0.6161202237
BRIDGE	1011	BRIDGE	Brücke::N	399	0.397872901131133	0.110973271064599	11.0892280732018	0.750837196302161	113	10-74																			0.4171597633	0.8461538462	0.9467455621	44	0.4669088833
DREAM	2374	DREAM	Traum::N	55	0.478713642942138	0.096857787260777	11.8348367209929	0.752641393451361	114	4-62	50														5				0.0862068966	0.8436781609	0.7471264368	44	0.575995098
		SLEEP_(STATE)	Schlaf::N	54	0.358851717262828	0.105573288316697	10.7607243965696	0.753105894120419	115																								
PUT	998	PUT	stellen::V	822	0.400778563208322	0.118528710336671	11.1858763808594	0.757886931198452	116	12-12																			0.0633406318	0.815139193	0.8592430404	58	0.6560387303
		WAY	Weg::N	403	0.246134795388135	0.123992444794496	9.79874556130424	0.758353240281102	117																								
